FUENTE: Base de datos de indicadores del Observatorio de Género en Educación Superior (PUCP)
HOJA: Indicador 2

Participación en campos académicos
Indicador 2: Selectividad de carreras masculinizadas y feminizadas por sexo
I2_a: Tasa de selectividad de grupos de programas masculinizados total
COLUMNAS: Indicador | Grupo de Programas | Clasificación | Nivel | Año | Tasa de selectividad total | Fuente
Indicador: I2_b | Grupo de Programas: Marketing y Publicidad | Clasificación: Feminizado | Nivel: PUCP | Año: 2024 | Tasa de selectividad total: 3.59 | Fuente: DTI
Indicador: I2_b | Grupo de Programas: Negocios Internacionales | Clasificación: Feminizado | Nivel: PUCP | Año: 2024 | Tasa de selectividad total: 2.89 | Fuente: DTI
Indicador: I2_b | Grupo de Programas: Psicología | Clasificación: Feminizado | Nivel: PUCP | Año: 2024 | Tasa de selectividad total: 3.19 | Fuente: DTI
Indicador: I2_b | Grupo de Programas: Diseño Industrial, de Modas e Interiores | Clasificación: Feminizado | Nivel: PUCP | Año: 2025 | Tasa de selectividad total: 2.5 | Fuente: DTI
Indicador: I2_b | Grupo de Programas: Educación Inicial | Clasificación: Feminizado | Nivel: PUCP | Año: 2025 | Tasa de selectividad total: 1.08 | Fuente: DTI
Indicador: I2_b | Grupo de Programas: Educación Primaria | Clasificación: Feminizado | Nivel: PUCP | Año: 2025 | Tasa de selectividad total: 1.04 | Fuente: DTI
Indicador: I2_b | Grupo de Programas: Hotelería, Restaurantes y Gastronomía | Clasificación: Feminizado | Nivel: PUCP | Año: 2025 | Tasa de selectividad total: 1.31 | Fuente: DTI
Indicador: I2_b | Grupo de Programas: Psicología | Clasificación: Feminizado | Nivel: PUCP | Año: 2025 | Tasa de selectividad total: 3.31 | Fuente: DTI
Indicador: I2_b | Grupo de Programas: Marketing y Publicidad | Clasificación: Feminizado | Nivel: PUCP | Año: 2025 | Tasa de selectividad total: 3.25 | Fuente: DTI
Indicador: I2_b | Grupo de Programas: Negocios Internacionales | Clasificación: Feminizado | Nivel: PUCP | Año: 2025 | Tasa de selectividad total: 3.54 | Fuente: DTI
